date,non_wear
23-06-20,459
24-06-20,514
25-06-20,0
26-06-20,44
27-06-20,13
28-06-20,24
29-06-20,22
30-06-20,128
01-07-20,0
02-07-20,46
03-07-20,6
04-07-20,4
05-07-20,11
06-07-20,93
07-07-20,0
08-07-20,44
09-07-20,44
10-07-20,12
11-07-20,10
12-07-20,51
13-07-20,18
14-07-20,36
15-07-20,24
16-07-20,0
17-07-20,48
18-07-20,106
19-07-20,24
20-07-20,20
21-07-20,6
22-07-20,14
23-07-20,65
24-07-20,13
25-07-20,31
26-07-20,2
27-07-20,19
28-07-20,40
29-07-20,37
30-07-20,19
31-07-20,37
01-08-20,6
02-08-20,1
03-08-20,97
04-08-20,6
05-08-20,29
06-08-20,22
08-08-20,1292
09-08-20,0
10-08-20,28
11-08-20,16
12-08-20,65
13-08-20,7
14-08-20,36
15-08-20,55
16-08-20,44
17-08-20,16
18-08-20,0
19-08-20,81
20-08-20,0
21-08-20,33
22-08-20,98
23-08-20,30
24-08-20,0
25-08-20,37
26-08-20,29
27-08-20,25
28-08-20,0
29-08-20,12
30-08-20,75
31-08-20,12
01-09-20,10
02-09-20,0
03-09-20,2
04-09-20,55
05-09-20,66
06-09-20,0
07-09-20,0
08-09-20,24
09-09-20,13
10-09-20,60
11-09-20,31
12-09-20,3
13-09-20,0
14-09-20,695
15-09-20,5
16-09-20,4
17-09-20,28
18-09-20,25
19-09-20,44
20-09-20,22
21-09-20,33
22-09-20,28
23-09-20,11
24-09-20,12
25-09-20,6
26-09-20,35
27-09-20,47
28-09-20,35
29-09-20,565
30-09-20,940
01-10-20,1
02-10-20,16
03-10-20,0
04-10-20,158
05-10-20,21
06-10-20,0
07-10-20,10
08-10-20,19
09-10-20,29
10-10-20,197
11-10-20,122
12-10-20,14
13-10-20,1245
14-10-20,226
15-10-20,21
16-10-20,6
17-10-20,561
18-10-20,279
19-10-20,19
20-10-20,24
21-10-20,6
22-10-20,35
23-10-20,44
24-10-20,76
25-10-20,89
26-10-20,16
27-10-20,6
28-10-20,5
29-10-20,18
30-10-20,37
31-10-20,28
01-11-20,188
02-11-20,60
03-11-20,18
04-11-20,0
05-11-20,16
06-11-20,0
07-11-20,228
08-11-20,16
09-11-20,104
10-11-20,0
11-11-20,8
12-11-20,25
13-11-20,12
14-11-20,935
16-11-20,221
17-11-20,7
18-11-20,8
19-11-20,21
20-11-20,13
