date,awake,light,rem,deep,rmssd,bedtime_start_delta,bedtime_end_delta
25-06-20,1950,14700,3120,8310,56,-3127,24953
26-06-20,1650,12780,4500,6630,54,-18,25542
27-06-20,3630,17670,6540,8880,67,-2891,33829
28-06-20,2040,12090,5550,7740,57,-1963,25457
29-06-20,2640,12450,4260,8850,64,-4509,23691
30-06-20,2250,12840,6150,7680,53,-4342,24578
01-07-20,1110,12030,4200,7320,37,308,24968
02-07-20,1470,10440,6810,9660,52,-2455,25925
03-07-20,2190,13920,6240,10710,64,-5236,27824
04-07-20,3120,15300,6030,7110,55,-5600,25960
05-07-20,1830,13410,4020,7620,37,6337,33217
06-07-20,1260,13260,5730,9570,71,-6615,23205
07-07-20,2100,14280,4290,8310,68,-3559,25421
08-07-20,3060,6120,2970,7290,49,987,20427
09-07-20,2220,11130,9060,10230,73,-6674,25966
10-07-20,1830,12720,6480,9210,62,-4716,25524
11-07-20,2100,14070,5490,7560,46,-1138,28082
12-07-20,2640,14190,8190,6300,31,-984,30336
13-07-20,3120,13380,5580,9840,62,-8733,23187
14-07-20,2070,15690,6480,9360,66,-10105,23495
15-07-20,2880,9870,3990,10140,63,-8532,18348
16-07-20,2580,11370,6780,6990,44,-1925,25795
17-07-20,1320,8430,6900,11190,52,-1908,25932
18-07-20,1440,11070,6270,8760,59,-386,27154
19-07-20,1950,16230,6750,8370,56,1254,34554
20-07-20,1560,9690,6090,8160,52,-1393,24107
21-07-20,1440,11550,5460,6930,53,581,25961
22-07-20,2580,13350,5820,7830,54,-3538,26042
23-07-20,1860,12810,5880,7110,50,-2918,24742
24-07-20,1710,12510,5820,6180,41,-1157,25063
25-07-20,2700,13440,7950,8310,50,1127,33527
26-07-20,2340,14670,9840,7350,45,-650,33550
27-07-20,2040,15000,2310,5850,56,-6383,18817
28-07-20,1800,7410,4860,6810,34,1125,22005
29-07-20,4140,12840,7170,8730,54,-6698,26182
30-07-20,2220,11100,4620,4620,44,3475,26035
31-07-20,1950,10380,6630,10500,61,-3819,25641
01-08-20,1530,14460,6450,8400,47,-2954,27886
02-08-20,1650,15450,4500,6540,28,-8,28132
03-08-20,3090,9030,4620,6000,59,1517,24257
04-08-20,3240,12120,5640,8640,74,-5260,24380
05-08-20,4590,12480,4770,8280,84,-5969,24151
06-08-20,2880,12990,6060,9930,84,-6642,25218
07-08-20,2580,12210,5730,8640,75,-7382,21778
08-08-20,2550,13200,4680,9030,71,-5071,24389
09-08-20,1770,14310,3810,7290,50,-5641,21539
10-08-20,2640,15660,5670,6690,56,-6462,24198
11-08-20,3930,11340,4410,8160,61,-5920,21920
12-08-20,4830,10440,5040,8430,51,-6909,21831
13-08-20,2100,10350,9540,10110,37,-6541,25559
14-08-20,1890,16650,4410,6810,46,-7690,22070
15-08-20,1680,14790,6150,6720,51,-8678,20662
16-08-20,1890,12540,6570,8760,58,-5729,24031
17-08-20,2280,14100,4350,8070,54,-5364,23436
18-08-20,2250,14670,7410,7530,64,-6648,25212
19-08-20,2910,12030,4770,6570,50,25,26305
20-08-20,2670,12000,4290,9120,62,-5001,23079
21-08-20,3120,13620,5910,9090,54,-6676,25064
22-08-20,2760,14970,5460,4830,45,-475,27545
23-08-20,1470,14220,6570,6060,48,-4496,23824
24-08-20,1200,10560,5040,9300,59,-4410,21690
25-08-20,1410,13410,5010,9150,56,-3287,25693
26-08-20,2130,11430,5340,9480,63,-7620,20760
27-08-20,2430,14970,6450,5430,41,-4288,24992
28-08-20,1920,13230,7560,6030,49,-5646,23094
29-08-20,1470,14010,5670,6090,45,1587,28827
30-08-20,2310,11880,4740,9150,42,3222,31302
31-08-20,2490,13500,6360,8190,52,-5254,25286
01-09-20,2250,13920,5310,7140,52,-3423,25197
02-09-20,1530,12600,5340,8430,57,-6178,21722
03-09-20,3810,11100,4560,11010,47,-5637,24843
04-09-20,1410,8580,2760,5490,35,4457,22697
05-09-20,2880,17040,6840,7680,50,-5036,29404
06-09-20,3030,13830,7740,11100,60,-6570,29130
07-09-20,3420,13170,3780,9630,63,975,30975
08-09-20,3360,11100,4200,6960,66,-2015,23605
09-09-20,2070,10140,7830,9300,53,-3926,25414
10-09-20,2640,15570,3660,8430,57,-4443,25857
11-09-20,1740,10050,4380,10290,64,-1887,24573
12-09-20,3090,14100,5130,7800,55,-3688,26432
13-09-20,1560,18510,7260,8010,48,-3727,31613
14-09-20,1620,14460,6990,8730,56,-7692,24108
15-09-20,3450,12270,4890,10530,65,-5711,25429
16-09-20,1950,11370,4950,7290,55,-25,25535
17-09-20,3120,12360,5640,8100,57,-3758,25462
18-09-20,1170,7680,5130,8100,43,4028,26108
19-09-20,1410,11190,6630,10590,50,-1768,28052
20-09-20,2040,18720,6660,6660,55,-7544,26536
21-09-20,1290,10200,4440,9810,51,-2230,23510
22-09-20,2610,14370,5760,11100,61,-7764,26076
23-09-20,1530,12270,4980,7020,59,510,26310
24-09-20,1950,9390,6150,6510,39,1791,25791
25-09-20,2040,15510,6540,7350,49,-5084,26356
26-09-20,2130,7590,5490,8370,42,2604,26184
27-09-20,1590,11070,5580,7320,33,-14,25546
28-09-20,1650,13830,5790,7710,58,-4658,24322
29-09-20,1860,12240,8160,10200,62,-7130,25330
02-10-20,2460,10950,6840,6330,36,1498,28078
03-10-20,1950,11130,6090,9090,56,-1621,26639
04-10-20,1860,14910,8520,6390,36,-6660,25020
05-10-20,3120,14250,6330,7440,48,-6160,24980
06-10-20,2310,12360,5100,8070,67,-2408,25432
07-10-20,3060,13920,5070,7770,60,-5813,24007
08-10-20,2580,13440,7260,7380,39,-4658,26002
09-10-20,1920,10200,6000,7080,46,-222,24978
10-10-20,2910,16080,9420,8790,57,-4955,32245
11-10-20,2160,18120,5910,7350,42,-5640,27900
12-10-20,2730,15900,4890,3780,48,-3803,23497
13-10-20,4650,15930,5640,6780,50,-8271,24729
15-10-20,3540,11640,5010,9570,50,-3961,25799
16-10-20,2820,17430,9180,4290,42,-7199,26521
17-10-20,3180,15390,4950,6660,48,-4575,25605
19-10-20,1680,15420,8010,7830,44,-8063,24877
20-10-20,3600,11190,6510,9480,54,-5650,25130
21-10-20,1980,15210,4920,7710,57,-6380,23440
22-10-20,2940,14460,7170,7290,41,-5782,26078
23-10-20,2940,13500,9270,8550,25,-7897,26363
24-10-20,2430,14190,7950,5370,43,2007,31947
25-10-20,2730,17250,6840,6660,54,-3528,29952
26-10-20,2280,9270,6450,7500,53,-3,25497
27-10-20,3120,13050,6210,7260,53,-3504,26136
28-10-20,1980,13260,7440,8460,56,-5053,26087
29-10-20,2640,16020,6810,7230,55,-5664,27036
30-10-20,3510,13710,9030,7830,43,-7589,26491
31-10-20,6600,12150,4110,6720,42,-114,29466
01-11-20,900,8610,6420,8190,34,1468,25588
02-11-20,2070,16170,6510,8730,49,-10086,23394
03-11-20,5280,11130,5070,10020,68,-7807,23693
04-11-20,1410,13530,6420,8400,78,-8007,21753
05-11-20,2070,15120,4770,7080,45,-5503,23537
06-11-20,1620,8250,4260,7410,54,-939,20601
07-11-20,2820,14160,9630,6210,39,-4833,27987
08-11-20,2310,12540,6300,8850,49,-4446,25554
09-11-20,2100,14220,6870,7950,36,-7521,23619
10-11-20,3150,15690,6240,7080,48,-7788,24372
11-11-20,4980,17040,5370,8670,48,-10350,25710
12-11-20,4080,15780,6660,6300,48,-9870,22950
13-11-20,1500,16680,7170,6390,39,-8036,23704
14-11-20,1320,15210,8520,9330,45,-8815,25565
17-11-20,1740,11190,6900,9390,54,-5198,24022
18-11-20,2370,12540,5760,8070,60,-5269,23471
19-11-20,4230,14760,4950,7200,49,-8643,22497
20-11-20,2670,16410,6930,8790,51,-9628,25172
21-11-20,4320,16020,6090,8430,47,-8218,26642
22-11-20,2880,16650,6690,5820,42,-3812,28228
